#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-07-10 23:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-07-10 23:00:02 UTC


Afghanistan,#genre#
LCN TV[geo-blocked],https://t.freetv.fun/live/acn-tv.m3u8
Africa,#genre#
ACI TV Africa[geo-blocked],https://t.freetv.fun/live/voa-tv-africa-1080p.m3u8
CRTV Cameroon[geo-blocked],https://t.freetv.fun/live/crtv.m3u8
Canal 2 Africa[geo-blocked],https://t.freetv.fun/live/canal-2.m3u8
GTV (GHANA)[geo-blocked],https://t.freetv.fun/live/gtv.m3u8
K24 TV Kenya[geo-blocked],https://t.freetv.fun/live/k24.m3u8
RTB Africa[geo-blocked],https://t.freetv.fun/live/abn-africa-480p.m3u8
Sen TV Africa[geo-blocked],https://t.freetv.fun/live/sen-tv.m3u8
Sudan TV[geo-blocked],https://t.freetv.fun/live/sundance-tv.m3u8
TFM Senegal[geo-blocked],https://t.freetv.fun/live/tfm.m3u8
TVC News[geo-blocked],https://t.freetv.fun/live/tvc.m3u8
Walf TV Africa[geo-blocked],https://t.freetv.fun/live/walf-tv.m3u8
Albania,#genre#
RTV 21 HD Albania[geo-blocked],https://t.freetv.fun/live/rtv.m3u8
RTV 21 HD Albania[geo-blocked],https://t.freetv.fun/live/tv-7-albania.m3u8
Tip TV[geo-blocked],https://t.freetv.fun/live/top-tv.m3u8
Tip TV[geo-blocked],https://t.freetv.fun/live/top-tv-1.m3u8
Tring Comedy Albania[geo-blocked],https://t.freetv.fun/live/vip-comedy.m3u8
Vizion Plus Albania[geo-blocked],https://t.freetv.fun/live/vizion-plus-al.m3u8
Algeria,#genre#
